雨の日の,下校のときに,見た枝は,くもの巣さえも,美しきかな
また今日も,いつものように,けんかだね,姉妹みたいだ,母と私と
ウイルスの,記事ひとつなき,一枚を,選りて折りたり,端午の兜
あまりりす,平泳ぎなら,どこまでも,ゆけると言った,ひとの踏む水
五匙しか,食べない夫に,粥を炊き,行平鍋の,窪みを磨く
原発の,汚染処理水,受け入れて,太平洋は,少しふくらむ
大事なこと,俺が決め,何が大事かは,妻が決めてる,平らかな日々
人生は,均せば平らと,言い聞かす,谷底の日も,春陽は温し
Ｉ・Ｈの,キッチン退きたる,行平鍋が,庭に働く,柄杓となりて
水のドア,何度も開ける,平泳ぎ,別の私が,いそうな気がして
まっしろの,金平糖を,黒髪に,おとすぼくらは,神話になれる
仁丹の,銀の光の,謎めけり,病弱なりし,父の手の平
平然と,「知らない人だ」と,言う母の,娘になれず,面会終える
わたしには,確かにきみと,わかるから,目玉おやぢで,帰つておいで
夫と手を,繫ぐ事多く,なりてゆく,手摺途切れれば,差し伸べられて
歩くたび,鈴は鳴るなり,ポケットに,わたしがわたしを,わすれぬやうに
うめ、さくら、,ばら、チューリップ,くらいしか,知らない僕の,「あの花」が咲く
泣き声が,ロビーに響く,嗚呼これは,私を父に,するファンファーレ
新三田,行きに乗れども,新三田,見ることはなし,未来のごとく
故郷でも,郷里でもなく,「ふるさと」と,和語で呼びたき,町のありけり
つめたいも,あったかいも出る,自販機の,灯みていた,病院の夜
スーパーの,帰りの橋に,妻といて,小魚に照る,この世のひかり
食卓で,待つ者もなし,ざるの目に,詰まったひじき,ぽちぽちと抜く
三度目,鶏インフルの,報せあり,明日より緊急,動員という
わずかなる,餌を啄む,にわとりの,百万羽の音,あすは消えなん
ひたひたと,夕闇迫り,てのひらの,芯につめたき,空気まとえり
処分へと,向かう途中に,零れおり,白き羽毛が,ふわんふわんと
数滴の,血液混ざり,込むような,月夜に鶏の,処分始まる
水を飲む,鶏のあいだを,抜けながら,鶏を籠めたる,ケージを運ぶ
健康な,鶏もまとめて,殺さるる,濃厚接触,させし挙げ句に
ガス室を,前に鶏らの,仰ぐ空,生まれてはじめて,見る大空か
鶏たちの,安楽死とは,ほど遠し,ガスを浴びても,死ねぬ者居て
出来立ての,鶏のなきがら,放るとき,微かにきゅっと,啼き声を聴く
丹頂は,手厚く処置を,されていた,鶏の処分を,している時も
吐く息が,数日鶏の,匂いせり,ひと夜鶏舎に,作業ののちの
朝夕と,巨大鶏舎に,無精卵,生み続けいし,生をおもえり
鶏卵の,高値ばかりを,世の中は,報じていたり,梅の散る頃
からっぽの,鶏舎に再度,あらたなる,鶏の飼われる,準備はじまる
「この味が,いいね」と君が,言ったから,七月六日は,サラダ記念日
明日まで,一緒にいたい,心だけ,ホームに置いて,乗る終電車
白菜が,赤帯しめて,店先に,うっふんうっふん,肩を並べる
自転車の,後ろに乗って,この街の,右側だけを,知っていた夏
ガーベラも,ダリアも花と,呼ぶきみが,コスモスだけは,コスモスと呼ぶ
未来とは,レモン氷の,向こうなる,おまえの八重歯に,映った花火
たっぷりと,君に抱かれて,いるような,グリンのセーター,着て冬になる
寄せ返す,波のしぐさの,優しさに,いつ言われても,いいさようなら
鮭の死を,米で包んで,またさらに,海苔で包んだ,あれが食べたい
きみとの恋,終わりプールに,泳ぎおり,十メートル地点で,悲しみがくる
「はなびら」と,点字をなぞる,ああ、これは,桜の可能,性が大きい
体温計,くわえて窓に,額つけ,「ゆひら」とさわぐ,雪のことかよ
ゼラチンの,菓子をすくえば,今満ちる,雨の匂いに,包まれてひとり
終バスに,ふたりは眠る,紫の, ＜降りますランプ＞に,取り囲まれて
目覚めたら,息まっしろで、,これはもう、,ほんかくてきよ、,ほんかくてき
夏の夜の,すべての重力,受けとめて,金魚すくいの,ポイが破れる
しつけ糸,ほどけるように,向日葵が,遠いひかりに,ひらかれてゆく
雪まみれの,頭をふって,きみはもう,絶対泣かない,機械となりぬ
庭先で,ゆっくり死んで,ゆくシロが,ちょっと笑った,夏休みです
ぼくの持つ,バケツに落ちた, 月を食い,めだかの腹は,ふくらんでゆく
とぶために,四階に来て,はつなつの,明るいベラン,ダに靴を脱ぐ
十七の,春に自分の,一生に,嫌気がさして,二十年経つ
全員が,サラダバーに,行ってる時に,全部のカバン,見てる役割
ハムレタス,サンドは床に,落ちパンと,レタスとハムと,パンに分かれた
もういやだ,死にたいそして,ほとぼりが,冷めたあたりで,生き返りたい
青空へ,わたしはろくろっ,くび伸びて,くちづけしたし,野鳥のきみと
ついてない,びっくりするほど,ついてない,ほんとにあるの？ , あたしにあした
この煙草,あくまであなた,吸ったのね,そのとき口紅,つけていたのね
目が合った,あなたは去った,軽蔑に,致死量がある,ことがわかった
覇気のない,ドラえもんには,適当な,悩みを言って,あげたりしなきゃ
子には子の,電車来るべし,「白菜の,内側でお待ち,下さい」と言ふ
誤植あり。,中野駅徒歩,十二年。,それでいいかも,しれないけれど
「凍る、燃える、,凍る、燃える」と,占いの,花びら毟る,宇宙飛行士
あの虹を,無視したら撃て,あの虹に,立ち止まったら,撃つなゴジラを
Ｂ型の,不足を叫ぶ,青年が,血のいれものと,して僕を見る
