label order: ['emotion.happy', 'emotion.funny', 'emotion.calm', 'emotion.sad', 'emotion.lonely', 'emotion.angry']
label_list: ['emotion.happy.0', 'emotion.happy.1', 'emotion.happy.2', 'emotion.funny.0', 'emotion.funny.1', 'emotion.funny.2', 'emotion.calm.0', 'emotion.calm.1', 'emotion.calm.2', 'emotion.sad.0', 'emotion.sad.1', 'emotion.sad.2', 'emotion.lonely.0', 'emotion.lonely.1', 'emotion.lonely.2', 'emotion.angry.0', 'emotion.angry.1', 'emotion.angry.2']
{'eval_loss': 0.689494252204895, 'eval_f1': 0.42216358839050133, 'eval_runtime': 0.2094, 'eval_samples_per_second': 143.271, 'eval_steps_per_second': 9.551, 'epoch': 1.0}
{'eval_loss': 0.6885850429534912, 'eval_f1': 0.42216358839050133, 'eval_runtime': 0.229, 'eval_samples_per_second': 131.002, 'eval_steps_per_second': 8.733, 'epoch': 2.0}
{'eval_loss': 0.6875852346420288, 'eval_f1': 0.417989417989418, 'eval_runtime': 0.2055, 'eval_samples_per_second': 145.961, 'eval_steps_per_second': 9.731, 'epoch': 3.0}
{'eval_loss': 0.6865370273590088, 'eval_f1': 0.41489361702127664, 'eval_runtime': 0.2144, 'eval_samples_per_second': 139.916, 'eval_steps_per_second': 9.328, 'epoch': 4.0}
{'eval_loss': 0.6854933500289917, 'eval_f1': 0.4128686327077748, 'eval_runtime': 0.2117, 'eval_samples_per_second': 141.741, 'eval_steps_per_second': 9.449, 'epoch': 5.0}
{'eval_loss': 0.6844748854637146, 'eval_f1': 0.4173441734417344, 'eval_runtime': 0.2241, 'eval_samples_per_second': 133.877, 'eval_steps_per_second': 8.925, 'epoch': 6.0}
{'eval_loss': 0.6834748387336731, 'eval_f1': 0.4119241192411924, 'eval_runtime': 0.2092, 'eval_samples_per_second': 143.389, 'eval_steps_per_second': 9.559, 'epoch': 7.0}
{'eval_loss': 0.6825169324874878, 'eval_f1': 0.41304347826086957, 'eval_runtime': 0.2122, 'eval_samples_per_second': 141.391, 'eval_steps_per_second': 9.426, 'epoch': 8.0}
{'eval_loss': 0.6815780997276306, 'eval_f1': 0.4175824175824176, 'eval_runtime': 0.2091, 'eval_samples_per_second': 143.449, 'eval_steps_per_second': 9.563, 'epoch': 9.0}
{'eval_loss': 0.6806279420852661, 'eval_f1': 0.41436464088397795, 'eval_runtime': 0.2288, 'eval_samples_per_second': 131.106, 'eval_steps_per_second': 8.74, 'epoch': 10.0}
{'eval_loss': 0.6796815991401672, 'eval_f1': 0.4155124653739612, 'eval_runtime': 0.2096, 'eval_samples_per_second': 143.109, 'eval_steps_per_second': 9.541, 'epoch': 11.0}
{'eval_loss': 0.6787158250808716, 'eval_f1': 0.41573033707865165, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.099, 'eval_steps_per_second': 9.607, 'epoch': 12.0}
{'eval_loss': 0.6777849793434143, 'eval_f1': 0.4192634560906515, 'eval_runtime': 0.2125, 'eval_samples_per_second': 141.171, 'eval_steps_per_second': 9.411, 'epoch': 13.0}
{'eval_loss': 0.6768998503684998, 'eval_f1': 0.4183381088825215, 'eval_runtime': 0.213, 'eval_samples_per_second': 140.849, 'eval_steps_per_second': 9.39, 'epoch': 14.0}
{'eval_loss': 0.6760084629058838, 'eval_f1': 0.42318840579710143, 'eval_runtime': 0.2089, 'eval_samples_per_second': 143.606, 'eval_steps_per_second': 9.574, 'epoch': 15.0}
{'eval_loss': 0.6751390099525452, 'eval_f1': 0.4198250728862974, 'eval_runtime': 0.2089, 'eval_samples_per_second': 143.598, 'eval_steps_per_second': 9.573, 'epoch': 16.0}
{'eval_loss': 0.6742762327194214, 'eval_f1': 0.4164222873900293, 'eval_runtime': 0.2087, 'eval_samples_per_second': 143.767, 'eval_steps_per_second': 9.584, 'epoch': 17.0}
{'eval_loss': 0.673428475856781, 'eval_f1': 0.41764705882352937, 'eval_runtime': 0.2086, 'eval_samples_per_second': 143.84, 'eval_steps_per_second': 9.589, 'epoch': 18.0}
{'eval_loss': 0.6725868582725525, 'eval_f1': 0.41764705882352937, 'eval_runtime': 0.2094, 'eval_samples_per_second': 143.288, 'eval_steps_per_second': 9.553, 'epoch': 19.0}
{'eval_loss': 0.671742856502533, 'eval_f1': 0.42228739002932547, 'eval_runtime': 0.2093, 'eval_samples_per_second': 143.333, 'eval_steps_per_second': 9.556, 'epoch': 20.0}
{'eval_loss': 0.6709203124046326, 'eval_f1': 0.4247787610619469, 'eval_runtime': 0.2088, 'eval_samples_per_second': 143.682, 'eval_steps_per_second': 9.579, 'epoch': 21.0}
{'eval_loss': 0.6700693368911743, 'eval_f1': 0.42388059701492536, 'eval_runtime': 0.2085, 'eval_samples_per_second': 143.862, 'eval_steps_per_second': 9.591, 'epoch': 22.0}
{'eval_loss': 0.6692419648170471, 'eval_f1': 0.42388059701492536, 'eval_runtime': 0.2059, 'eval_samples_per_second': 145.697, 'eval_steps_per_second': 9.713, 'epoch': 23.0}
{'eval_loss': 0.6684297323226929, 'eval_f1': 0.42771084337349397, 'eval_runtime': 0.2068, 'eval_samples_per_second': 145.055, 'eval_steps_per_second': 9.67, 'epoch': 24.0}
{'eval_loss': 0.6676517724990845, 'eval_f1': 0.4290030211480363, 'eval_runtime': 0.2125, 'eval_samples_per_second': 141.207, 'eval_steps_per_second': 9.414, 'epoch': 25.0}
{'eval_loss': 0.6669038534164429, 'eval_f1': 0.425531914893617, 'eval_runtime': 0.2097, 'eval_samples_per_second': 143.095, 'eval_steps_per_second': 9.54, 'epoch': 26.0}
{'eval_loss': 0.6661531329154968, 'eval_f1': 0.4342507645259938, 'eval_runtime': 0.2088, 'eval_samples_per_second': 143.681, 'eval_steps_per_second': 9.579, 'epoch': 27.0}
{'eval_loss': 0.6653977632522583, 'eval_f1': 0.4320987654320988, 'eval_runtime': 0.2089, 'eval_samples_per_second': 143.637, 'eval_steps_per_second': 9.576, 'epoch': 28.0}
{'eval_loss': 0.6646133661270142, 'eval_f1': 0.4347826086956522, 'eval_runtime': 0.2087, 'eval_samples_per_second': 143.735, 'eval_steps_per_second': 9.582, 'epoch': 29.0}
{'eval_loss': 0.6638647317886353, 'eval_f1': 0.42990654205607476, 'eval_runtime': 0.2123, 'eval_samples_per_second': 141.323, 'eval_steps_per_second': 9.422, 'epoch': 30.0}
{'eval_loss': 0.6631011366844177, 'eval_f1': 0.42990654205607476, 'eval_runtime': 0.2097, 'eval_samples_per_second': 143.082, 'eval_steps_per_second': 9.539, 'epoch': 31.0}
{'eval_loss': 0.6623226404190063, 'eval_f1': 0.4276729559748428, 'eval_runtime': 0.2086, 'eval_samples_per_second': 143.825, 'eval_steps_per_second': 9.588, 'epoch': 32.0}
{'eval_loss': 0.6616118550300598, 'eval_f1': 0.42271293375394325, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.1, 'eval_steps_per_second': 9.607, 'epoch': 33.0}
{'eval_loss': 0.6609095335006714, 'eval_f1': 0.42138364779874216, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.109, 'eval_steps_per_second': 9.607, 'epoch': 34.0}
{'eval_loss': 0.6602191925048828, 'eval_f1': 0.4200626959247649, 'eval_runtime': 0.2075, 'eval_samples_per_second': 144.566, 'eval_steps_per_second': 9.638, 'epoch': 35.0}
{'eval_loss': 0.6594980955123901, 'eval_f1': 0.4200626959247649, 'eval_runtime': 0.2172, 'eval_samples_per_second': 138.102, 'eval_steps_per_second': 9.207, 'epoch': 36.0}
{'eval_loss': 0.658808171749115, 'eval_f1': 0.42271293375394325, 'eval_runtime': 0.2234, 'eval_samples_per_second': 134.271, 'eval_steps_per_second': 8.951, 'epoch': 37.0}
{'eval_loss': 0.658126950263977, 'eval_f1': 0.42271293375394325, 'eval_runtime': 0.2166, 'eval_samples_per_second': 138.502, 'eval_steps_per_second': 9.233, 'epoch': 38.0}
{'eval_loss': 0.6574535369873047, 'eval_f1': 0.4253968253968254, 'eval_runtime': 0.2223, 'eval_samples_per_second': 134.953, 'eval_steps_per_second': 8.997, 'epoch': 39.0}
{'eval_loss': 0.6568087339401245, 'eval_f1': 0.42038216560509556, 'eval_runtime': 0.2164, 'eval_samples_per_second': 138.625, 'eval_steps_per_second': 9.242, 'epoch': 40.0}
