初句,二句,三句,四句,結句,感情:嬉しい,感情:面白い,感情:穏やか,感情:しみじみ,感情:寂しい,感情:怒り,初句の音節数,二句の音節数,三句の音節数,四句の音節数,五句の音節数,合計音節数,タグ:日常,タグ:人間関係,タグ:仕事,タグ:人生,タグ:家族,タグ:恋愛,タグ:旅行,タグ:自然,タグ:時事
雨の日の,下校のときに,見た枝は,くもの巣さえも,美しきかな,4,1.75,7.75,7,2.25,1,5,7,5,7,7,31,1,0,0,0,0,0,0,1,0
,,,,海原,4,1,8,7,2,1,,,,,,,,,,,,,,,
,,,,山下,3,1,7,6,1,1,,,,,,,,,,,,,,,
,,,,山本,5,3,8,8,3,1,,,,,,,,,,,,,,,
,,,,大氏,4,2,8,7,3,1,,,,,,,,,,,,,,,
また今日も,いつものように,けんかだね,姉妹みたいだ,母と私と,3.25,3.25,3,2.75,1,2.75,5,7,5,7,7,31,1,1,0,0,1,0,0,0,0
,,,,海原,5,1,6,4,1,3,,,,,,,,,,,,,,,
,,,,山下,2,4,1,2,1,4,,,,,,,,,,,,,,,
,,,,山本,4,6,2,3,1,2,,,,,,,,,,,,,,,
,,,,大氏,2,2,3,2,1,2,,,,,,,,,,,,,,,
ウイルスの,記事ひとつなき,一枚を,選りて折りたり,端午の兜,4.25,1.25,4.25,5.75,3,1.75,5,7,5,7,7,31,0,0,0,1,1,0,0,0,0
,,,,海原,5,2,7,7,1,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,4,8,4,,,,,,,,,,,,,,,
,,,,山本,6,1,3,6,1,1,,,,,,,,,,,,,,,
,,,,大氏,5,1,4,6,2,1,,,,,,,,,,,,,,,
あまりりす,平泳ぎなら,どこまでも,ゆけると言った,ひとの踏む水,2.5,2.5,7.5,7,3.25,1.25,,,,,,,1,0,0,0,0,0,0,1,0
,,,,海原,3,3,7,7,3,1,,,,,,,,,,,,,,,
,,,,山下,2,4,8,6,2,1,,,,,,,,,,,,,,,
,,,,山本,3,2,8,7,3,1,,,,,,,,,,,,,,,
,,,,大氏,2,1,7,8,5,2,,,,,,,,,,,,,,,
